node_id	species	protocol	seed	space	label	umap1	umap2
S000000001	scerevisiae	scerevisiae	1029	bio_input	1	0.8001495003700256	-0.4572955369949341
S000000002	scerevisiae	scerevisiae	1029	bio_input	0	-1.9052234888076782	4.809770584106445
S000000008	scerevisiae	scerevisiae	1029	bio_input	0	4.380129337310791	0.4151764512062073
S000000010	scerevisiae	scerevisiae	1029	bio_input	0	-1.8956345319747925	7.139538288116455
S000000020	scerevisiae	scerevisiae	1029	bio_input	0	-2.8130226135253906	5.553438663482666
S000000024	scerevisiae	scerevisiae	1029	bio_input	0	-3.1686439514160156	5.831915855407715
S000000027	scerevisiae	scerevisiae	1029	bio_input	0	-3.2471697330474854	6.762955188751221
S000000029	scerevisiae	scerevisiae	1029	bio_input	0	1.3996561765670776	-0.4175169765949249
S000000032	scerevisiae	scerevisiae	1029	bio_input	1	0.6138624548912048	-2.2251367568969727
S000000033	scerevisiae	scerevisiae	1029	bio_input	0	-3.263538122177124	8.008125305175781
S000000039	scerevisiae	scerevisiae	1029	bio_input	1	0.05007851868867874	2.3162662982940674
S000000040	scerevisiae	scerevisiae	1029	bio_input	0	-2.855978488922119	5.902021408081055
S000000041	scerevisiae	scerevisiae	1029	bio_input	1	-0.8197273015975952	1.687230110168457
S000000044	scerevisiae	scerevisiae	1029	bio_input	0	0.6201834678649902	-0.036883383989334106
S000000046	scerevisiae	scerevisiae	1029	bio_input	0	-2.6460020542144775	5.503420352935791
S000000058	scerevisiae	scerevisiae	1029	bio_input	0	-1.1228944063186646	7.079710006713867
S000000063	scerevisiae	scerevisiae	1029	bio_input	0	1.498079538345337	0.597001314163208
S000000067	scerevisiae	scerevisiae	1029	bio_input	0	4.562831878662109	2.7655906677246094
S000000075	scerevisiae	scerevisiae	1029	bio_input	0	4.107654094696045	-0.8488031625747681
S000000084	scerevisiae	scerevisiae	1029	bio_input	0	1.2638269662857056	0.7759235501289368
S000000099	scerevisiae	scerevisiae	1029	bio_input	0	-0.3069378137588501	7.517604351043701
S000000116	scerevisiae	scerevisiae	1029	bio_input	1	-3.13820219039917	5.654233455657959
S000000124	scerevisiae	scerevisiae	1029	bio_input	0	1.6421012878417969	-1.6513230800628662
S000000127	scerevisiae	scerevisiae	1029	bio_input	0	2.4434502124786377	-3.0922954082489014
S000000131	scerevisiae	scerevisiae	1029	bio_input	1	-2.8394455909729004	4.701699256896973
S000000134	scerevisiae	scerevisiae	1029	bio_input	0	-0.8719614744186401	2.279289484024048
S000000138	scerevisiae	scerevisiae	1029	bio_input	0	-0.5075305104255676	2.735604763031006
S000000163	scerevisiae	scerevisiae	1029	bio_input	0	-3.1501622200012207	5.469292640686035
S000000170	scerevisiae	scerevisiae	1029	bio_input	1	1.2028634548187256	-2.542224407196045
S000000171	scerevisiae	scerevisiae	1029	bio_input	0	-0.98445725440979	7.5788726806640625
S000000182	scerevisiae	scerevisiae	1029	bio_input	0	-0.20248912274837494	0.3172081708908081
S000000184	scerevisiae	scerevisiae	1029	bio_input	0	1.007916808128357	0.06400962918996811
S000000186	scerevisiae	scerevisiae	1029	bio_input	0	2.0627975463867188	-1.5536905527114868
S000000193	scerevisiae	scerevisiae	1029	bio_input	1	-3.6871042251586914	5.702764511108398
S000000212	scerevisiae	scerevisiae	1029	bio_input	0	-0.3670012354850769	1.7643063068389893
S000000220	scerevisiae	scerevisiae	1029	bio_input	0	3.7811059951782227	1.9086004495620728
S000000223	scerevisiae	scerevisiae	1029	bio_input	0	1.5491433143615723	0.6045415997505188
S000000224	scerevisiae	scerevisiae	1029	bio_input	0	-2.6639678478240967	6.345383644104004
S000000238	scerevisiae	scerevisiae	1029	bio_input	0	-3.685960054397583	6.643047332763672
S000000242	scerevisiae	scerevisiae	1029	bio_input	1	0.05509183928370476	2.2401649951934814
S000000253	scerevisiae	scerevisiae	1029	bio_input	1	0.508476197719574	0.22776204347610474
S000000259	scerevisiae	scerevisiae	1029	bio_input	1	-3.853867769241333	6.220722198486328
S000000265	scerevisiae	scerevisiae	1029	bio_input	0	4.424762725830078	-1.604680061340332
S000000267	scerevisiae	scerevisiae	1029	bio_input	0	4.399259090423584	-1.3455311059951782
S000000275	scerevisiae	scerevisiae	1029	bio_input	0	3.239645004272461	-2.1915132999420166
S000000277	scerevisiae	scerevisiae	1029	bio_input	0	-0.7344796061515808	1.78469717502594
S000000278	scerevisiae	scerevisiae	1029	bio_input	0	0.1546059101819992	1.2899340391159058
S000000291	scerevisiae	scerevisiae	1029	bio_input	1	-3.8553380966186523	8.020040512084961
S000000296	scerevisiae	scerevisiae	1029	bio_input	0	-2.272617816925049	4.978523254394531
S000000300	scerevisiae	scerevisiae	1029	bio_input	0	-0.3648037612438202	0.49594569206237793
S000000305	scerevisiae	scerevisiae	1029	bio_input	0	-0.7223039269447327	6.66232967376709
