ph1_gene_id	orthogroup_id	has_scer_essential_ortholog	has_spom_essential_ortholog	has_any_yeast_essential	scer_essential_gene_ids	spom_essential_gene_ids	fg_occupancy_18	fg_presence_count_18	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	is_strict_core_18	is_exact_single_copy_core_18	yeast_essential_support_class	weak_positive_confidence	source_protein_id	source_header	sequence_length	sequence_sha256	header_fgsg_id	legacy_protein_accession	legacy_seq_match_count	fgsg_candidate_count	unified_candidate_count	resolved_canonical_gene_id	bridge_status	bridge_method	mapping_confidence	has_resolved_canonical	canonical_gene_id	candidate_rank_within_gene	selection_rule	construction_role
XP_011315780.1	OG0003205	0	1	1		SPAC23H3.07c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011315780.1	XP_011315780.1 40S ribosomal protein MRP2 [Fusarium graminearum PH-1]	113	642bb9c7243323bea15bb218bca19e54ddce21d50854f9d36c3ae9e1303f874e		I1R9M0	1	0	1	fgraminearum::FGRAMPH1_01G00461	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00461	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315781.1	OG0003206	1	1	1	YNL245C	SPBC146.05c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315781.1	XP_011315781.1 pre-mRNA splicing factor CWC25, partial [Fusarium graminearum PH-1]	393	bd88f3086bc0dd434631cd042db733d26feedbaf2b4995a63c8023a43de44ccb		Q4IRI9	1	0	1	fgraminearum::FGRAMPH1_01G00463	resolved	ncbi_protein_id_via_unified_map		True	fgraminearum::FGRAMPH1_01G00463	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315782.1	OG0003207	0	1	1		SPAC23C4.08.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011315782.1	XP_011315782.1 Rho3 protein [Fusarium graminearum PH-1]	205	025b35e8382836335e0f041d64528fc71a9d51e251125ffd32f5a5b262e6cc92			0	0	1	fgraminearum::FGRAMPH1_01G00465	resolved	ncbi_protein_id_via_unified_map		True	fgraminearum::FGRAMPH1_01G00465	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315806.1	OG0003210	1	1	1	YEL002C	SPCC338.15.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315806.1	XP_011315806.1 hypothetical protein FGSG_00189 [Fusarium graminearum PH-1]	458	ebda425b47ff8cc75f9df1a6010c7612cdca1dc57b26e9f8785e9376b599a90a	FGSG_00189	I1R9N7	1	1	1	fgraminearum::FGRAMPH1_01G00513	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00513	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315906.1	OG0002726	1	1	1	YNL182C	SPAC13G7.08c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315906.1	XP_011315906.1 hypothetical protein FGSG_00265 [Fusarium graminearum PH-1]	375	f30d0685e48199a6f252db50babccb9f0292aa7ad285795157daea9d661a9493	FGSG_00265		0	1	1	fgraminearum::FGRAMPH1_01G00709	resolved	unified_plus_fgsg_support		True	fgraminearum::FGRAMPH1_01G00709	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315912.1	OG0002727	1	1	1	YDR324C	SPBC19F5.02c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315912.1	XP_011315912.1 hypothetical protein FGSG_00270 [Fusarium graminearum PH-1]	869	3d7ccfd4664dda00e5ac44a60ceaf4952ce46674e5cacf92ca7d7842c1dd43ef	FGSG_00270	I1R9V7	1	1	1	fgraminearum::FGRAMPH1_01G00721	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00721	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315933.1	OG0001340	1	1	1	YOL139C	SPAC16E8.15.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315933.1	XP_011315933.1 eukaryotic translation initiation factor 4E-2 [Fusarium graminearum PH-1]	255	10e2a3cfe6f84795c0351bee88a11dc2c0d1cf1119eb14e81bcee1bc4c71feab		I1R9X2	1	0	1	fgraminearum::FGRAMPH1_01G00771	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00771	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315940.1	OG0002732	1	1	1	YOR206W	SPAC1142.04.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315940.1	XP_011315940.1 hypothetical protein FGSG_00292 [Fusarium graminearum PH-1]	769	10c56a0be2fd3eca48f024feb84cc2f5011f366f4af05d6d9547f05c5445f3c2	FGSG_00292	I1R9X7	1	1	1	fgraminearum::FGRAMPH1_01G00785	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00785	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315941.1	OG0008546	0	1	1		SPAC4H3.11c.1:pep	0.9444	17	0.9444	1.0	1	0.9444	0	0	spom_only	high	XP_011315941.1	XP_011315941.1 hypothetical protein FGSG_00293 [Fusarium graminearum PH-1]	1058	5053fbc7b333b92df714e660efd8100135b6535e22573875aaca30dc8a965f7f	FGSG_00293	I1R9X8	1	1	1	fgraminearum::FGRAMPH1_01G00787	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00787	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315944.1	OG0002733	0	1	1		SPBC1677.03c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011315944.1	XP_011315944.1 threonine dehydratase [Fusarium graminearum PH-1]	581	f662fb3a9bb900531fb376ad28a4189ead406376c7694b9316895f624370e05e		V6QU65	1	0	1	fgraminearum::FGRAMPH1_01G00793	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00793	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
