source_gene_id	canonical_gene_id	mapping_status	mapping_rule	mapping_source	target_label
FGRAMPH1_01G00023	fgraminearum::FGRAMPH1_01G00023	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00059	fgraminearum::FGRAMPH1_01G00059	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00197	fgraminearum::FGRAMPH1_01G00197	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00199	fgraminearum::FGRAMPH1_01G00199	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00201	fgraminearum::FGRAMPH1_01G00201	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00391	fgraminearum::FGRAMPH1_01G00391	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00393	fgraminearum::FGRAMPH1_01G00393	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00399	fgraminearum::FGRAMPH1_01G00399	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00521	fgraminearum::FGRAMPH1_01G00521	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00781	fgraminearum::FGRAMPH1_01G00781	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00807	fgraminearum::FGRAMPH1_01G00807	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00811	fgraminearum::FGRAMPH1_01G00811	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00855	fgraminearum::FGRAMPH1_01G00855	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
FGRAMPH1_01G00987	fgraminearum::FGRAMPH1_01G00987	matched	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	1
