yeast_support_source	support_type	orthogroup_id	canonical_fusarium_gene_id	bridge_resolved	bridge_method	mapping_confidence	bridge_evidence_path	passes_fusarium_filtering	weak_positive_confidence	occupancy_count	occupancy_fraction	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	copy_status	single_copy_or_near_single_copy	single_copy_orthofinder_listed	orthogroup_member_count_total	ph1_copy_count_from_membership	in_final_positive_set	in_high_confidence_set	in_final_label_set	is_lethal_supported_positive	final_label_class	final_label_bucket	ph1_gene_ids	scer_essential_gene_ids	spom_essential_gene_ids	source_row_count	yeast_gene	yeast_species
spom_only	spom_only	OG0000002	fgraminearum::FGRAMPH1_01G20001	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.6111	3.0	4	0.2222	strict_core_multicopy	no	no	52	3	no	no	no	no	Excluded		XP_011324961.1		SPAC24C9.10c.1:pep	1	SPAC24C9.10c.1:pep	spom
spom_only	spom_only	OG0000002	fgraminearum::FGRAMPH1_01G20003	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.6111	3.0	4	0.2222	strict_core_multicopy	no	no	52	3	no	no	no	no	Excluded		XP_011324962.1		SPAC24C9.10c.1:pep	1	SPAC24C9.10c.1:pep	spom
spom_only	spom_only	OG0000002	fgraminearum::FGRAMPH1_01G20005	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.6111	3.0	4	0.2222	strict_core_multicopy	no	no	52	3	no	no	no	no	Excluded		XP_011324963.1		SPAC24C9.10c.1:pep	1	SPAC24C9.10c.1:pep	spom
both	both	OG0000007	fgraminearum::FGRAMPH1_01G02787	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	4	0.4444	strict_core_multicopy	no	no	47	4	no	no	no	no	Excluded		XP_011316885.1	YLR167W	SPBC12D12.08c.1:pep	1	YLR167W	both
both	both	OG0000007	fgraminearum::FGRAMPH1_01G04723	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	4	0.4444	strict_core_multicopy	no	no	47	4	no	no	no	no	Excluded		XP_011317812.1	YLR167W	SPBC12D12.08c.1:pep	1	YLR167W	both
both	both	OG0000007	fgraminearum::FGRAMPH1_01G10777	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	4	0.4444	strict_core_multicopy	no	no	47	4	no	no	no	no	Excluded		XP_011319955.1	YLR167W	SPBC12D12.08c.1:pep	1	YLR167W	both
both	both	OG0000007	fgraminearum::FGRAMPH1_01G20853	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	4	0.4444	strict_core_multicopy	no	no	47	4	no	no	no	no	Excluded		XP_011325433.1	YLR167W	SPBC12D12.08c.1:pep	1	YLR167W	both
both	both	OG0000013	fgraminearum::FGRAMPH1_01G14849	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.1667	2.0	3	0.2778	strict_core_multicopy	no	no	42	3	yes	no	yes	yes	Positive	lethal_phi_supported_positive	XP_011321366.1	YOR244W	SPAC637.12c.1:pep	1	YOR244W	both
both	both	OG0000013	fgraminearum::FGRAMPH1_01G14851	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.1667	2.0	3	0.2778	strict_core_multicopy	no	no	42	3	no	no	no	no	Excluded		XP_011321365.1	YOR244W	SPAC637.12c.1:pep	1	YOR244W	both
both	both	OG0000013	fgraminearum::FGRAMPH1_01G14853	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.1667	2.0	3	0.2778	strict_core_multicopy	no	no	42	3	no	no	no	no	Excluded		XP_011321364.1	YOR244W	SPAC637.12c.1:pep	1	YOR244W	both
spom_only	spom_only	OG0000014	fgraminearum::FGRAMPH1_01G03269	yes	fgsg_header_repo_local_mapping	inferred	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.1111	2.0	4	0.2778	strict_core_multicopy	no	no	42	3	no	no	no	no	Excluded		XP_011317109.1		SPBC428.01c.1:pep	1	SPBC428.01c.1:pep	spom
