ph1_gene_id	orthogroup_id	has_scer_essential_ortholog	has_spom_essential_ortholog	has_any_yeast_essential	scer_essential_gene_ids	spom_essential_gene_ids	fg_occupancy_18	fg_presence_count_18	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	is_strict_core_18	is_exact_single_copy_core_18	yeast_essential_support_class	weak_positive_confidence
XP_011324961.1	OG0000002	0	1	1	NA	SPAC24C9.10c.1:pep	1.0000	18	2.6111	3.0	4	0.2222	1	0	spom_only	low
XP_011324962.1	OG0000002	0	1	1	NA	SPAC24C9.10c.1:pep	1.0000	18	2.6111	3.0	4	0.2222	1	0	spom_only	low
XP_011324963.1	OG0000002	0	1	1	NA	SPAC24C9.10c.1:pep	1.0000	18	2.6111	3.0	4	0.2222	1	0	spom_only	low
XP_011320337.1	OG0000003	0	0	0	NA	NA	1.0000	18	2.7778	3.0	4	0.2222	1	0	none	none
XP_011324527.1	OG0000003	0	0	0	NA	NA	1.0000	18	2.7778	3.0	4	0.2222	1	0	none	none
XP_011324528.1	OG0000003	0	0	0	NA	NA	1.0000	18	2.7778	3.0	4	0.2222	1	0	none	none
XP_011317541.1	OG0000004	0	0	0	NA	NA	1.0000	18	2.7222	3.0	4	0.2222	1	0	none	none
XP_011317542.1	OG0000004	0	0	0	NA	NA	1.0000	18	2.7222	3.0	4	0.2222	1	0	none	none
XP_011317543.1	OG0000004	0	0	0	NA	NA	1.0000	18	2.7222	3.0	4	0.2222	1	0	none	none
XP_011317041.1	OG0000005	0	0	0	NA	NA	1.0000	18	2.3333	2.5	4	0.2222	1	0	none	none
XP_011317042.1	OG0000005	0	0	0	NA	NA	1.0000	18	2.3333	2.5	4	0.2222	1	0	none	none
XP_011317043.1	OG0000005	0	0	0	NA	NA	1.0000	18	2.3333	2.5	4	0.2222	1	0	none	none
XP_011316500.1	OG0000006	0	0	0	NA	NA	1.0000	18	2.5556	3.0	3	0.2222	1	0	none	none
XP_011316501.1	OG0000006	0	0	0	NA	NA	1.0000	18	2.5556	3.0	3	0.2222	1	0	none	none
XP_011324421.1	OG0000006	0	0	0	NA	NA	1.0000	18	2.5556	3.0	3	0.2222	1	0	none	none
XP_011316885.1	OG0000007	1	1	1	YLR167W	SPBC12D12.08c.1:pep	1.0000	18	2.0000	2.0	4	0.4444	1	0	both	low
XP_011317812.1	OG0000007	1	1	1	YLR167W	SPBC12D12.08c.1:pep	1.0000	18	2.0000	2.0	4	0.4444	1	0	both	low
XP_011319955.1	OG0000007	1	1	1	YLR167W	SPBC12D12.08c.1:pep	1.0000	18	2.0000	2.0	4	0.4444	1	0	both	low
XP_011325433.1	OG0000007	1	1	1	YLR167W	SPBC12D12.08c.1:pep	1.0000	18	2.0000	2.0	4	0.4444	1	0	both	low
XP_011318510.1	OG0000008	0	0	0	NA	NA	1.0000	18	2.5556	2.0	5	0.2778	1	0	none	none
XP_011318511.1	OG0000008	0	0	0	NA	NA	1.0000	18	2.5556	2.0	5	0.2778	1	0	none	none
XP_011322487.1	OG0000009	0	0	0	NA	NA	1.0000	18	2.5556	3.0	3	0.2222	1	0	none	none
XP_011322488.1	OG0000009	0	0	0	NA	NA	1.0000	18	2.5556	3.0	3	0.2222	1	0	none	none
XP_011322491.1	OG0000009	0	0	0	NA	NA	1.0000	18	2.5556	3.0	3	0.2222	1	0	none	none
XP_011315623.1	OG0000010	0	0	0	NA	NA	1.0000	18	2.3889	3.0	3	0.2222	1	0	none	none
XP_011324690.1	OG0000010	0	0	0	NA	NA	1.0000	18	2.3889	3.0	3	0.2222	1	0	none	none
XP_011324691.1	OG0000010	0	0	0	NA	NA	1.0000	18	2.3889	3.0	3	0.2222	1	0	none	none
XP_011316348.1	OG0000011	0	0	0	NA	NA	1.0000	18	2.3333	3.0	3	0.2222	1	0	none	none
XP_011326673.1	OG0000011	0	0	0	NA	NA	1.0000	18	2.3333	3.0	3	0.2222	1	0	none	none
XP_011319735.1	OG0000012	0	0	0	NA	NA	0.8333	15	2.3333	1.0	12	0.3889	0	0	none	none
XP_011321364.1	OG0000013	1	1	1	YOR244W	SPAC637.12c.1:pep	1.0000	18	2.1667	2.0	3	0.2778	1	0	both	low
XP_011321365.1	OG0000013	1	1	1	YOR244W	SPAC637.12c.1:pep	1.0000	18	2.1667	2.0	3	0.2778	1	0	both	low
XP_011321366.1	OG0000013	1	1	1	YOR244W	SPAC637.12c.1:pep	1.0000	18	2.1667	2.0	3	0.2778	1	0	both	low
XP_011317109.1	OG0000014	0	1	1	NA	SPBC428.01c.1:pep	1.0000	18	2.1111	2.0	4	0.2778	1	0	spom_only	low
XP_011317110.1	OG0000014	0	1	1	NA	SPBC428.01c.1:pep	1.0000	18	2.1111	2.0	4	0.2778	1	0	spom_only	low
XP_011317111.1	OG0000014	0	1	1	NA	SPBC428.01c.1:pep	1.0000	18	2.1111	2.0	4	0.2778	1	0	spom_only	low
XP_011327451.1	OG0000016	0	0	0	NA	NA	1.0000	18	2.2778	2.5	3	0.2222	1	0	none	none
XP_011327709.1	OG0000016	0	0	0	NA	NA	1.0000	18	2.2778	2.5	3	0.2222	1	0	none	none
XP_011327710.1	OG0000016	0	0	0	NA	NA	1.0000	18	2.2778	2.5	3	0.2222	1	0	none	none
XP_011319347.1	OG0000017	0	1	1	NA	SPAC227.09.1:pep	1.0000	18	2.0000	2.0	3	0.2222	1	0	spom_only	low
XP_011319348.1	OG0000017	0	1	1	NA	SPAC227.09.1:pep	1.0000	18	2.0000	2.0	3	0.2222	1	0	spom_only	low
