protocol_name	species	regime	data_key	canonical_gene_id	graph_gene_id	source_gene_id	label	label_text	label_status	label_source_project	label_source_file	source_manifest	positive_definition	notes	is_mainline_protocol	protocol_version
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000044	FBgn0000044	FBgn0000044	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000075	FBgn0000075	FBgn0000075	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000100	FBgn0000100	FBgn0000100	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000139	FBgn0000139	FBgn0000139	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000181	FBgn0000181	FBgn0000181	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000299	FBgn0000299	FBgn0000299	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000316	FBgn0000316	FBgn0000316	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000352	FBgn0000352	FBgn0000352	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000384	FBgn0000384	FBgn0000384	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000404	FBgn0000404	FBgn0000404	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
dmelanogaster	dmelanogaster	standard	melanogaster	FBgn0000422	FBgn0000422	FBgn0000422	1	essential	frozen	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt	data/processed/essential_gene/melanogaster/labels.standard.tsv	essential		True	frozen_protocol_v1
