gene_id	split	split_source	split_strategy	random_seed
FGRAMPH1_01G00001	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00003	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00005	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00007	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00009	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00011	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00013	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00015	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00017	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00019	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00021	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00023	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00025	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00027	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00029	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00031	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00033	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00035	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00037	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00039	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00041	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00043	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00045	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00047	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00049	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00051	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00053	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00055	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00057	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00059	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00061	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00063	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00065	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00067	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00069	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00071	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00073	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00075	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00077	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00079	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00081	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00083	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00085	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00087	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00089	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00091	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00093	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FGRAMPH1_01G00095	train	ProGATE_v2_stratified_rebuild	70/15/15	42
