gene_id	raw_location	normalized_location	evidence	source_db
FGRAMPH1_01G00035	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00035	Golgi	Golgi	eFG	eFG
FGRAMPH1_01G00035	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00037	Secreted	Secreted	eFG	eFG
FGRAMPH1_01G00037	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00041	Golgi	Golgi	eFG	eFG
FGRAMPH1_01G00041	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00047	Secreted	Secreted	eFG	eFG
FGRAMPH1_01G00047	Cytoplasm	Cytoplasm	eFG	eFG
FGRAMPH1_01G00049	Secreted	Secreted	eFG	eFG
FGRAMPH1_01G00049	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00049	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00051	Secreted	Secreted	eFG	eFG
FGRAMPH1_01G00051	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00051	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00063	Secreted	Secreted	eFG	eFG
FGRAMPH1_01G00063	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00063	Mitochondrion	Mitochondrion	eFG	eFG
FGRAMPH1_01G00063	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00067	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00067	Vacuole	Vacuole	eFG	eFG
FGRAMPH1_01G00069	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00069	Mitochondrion	Mitochondrion	eFG	eFG
FGRAMPH1_01G00069	Vacuole	Vacuole	eFG	eFG
FGRAMPH1_01G00069	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00069	Multi-pass membrane	Multi-pass membrane	eFG	eFG
FGRAMPH1_01G00075	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00075	Mitochondrion	Mitochondrion	eFG	eFG
FGRAMPH1_01G00075	Peroxisome	Peroxisome	eFG	eFG
FGRAMPH1_01G00075	Vacuole	Vacuole	eFG	eFG
FGRAMPH1_01G00075	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00077	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00077	Mitochondrion	Mitochondrion	eFG	eFG
FGRAMPH1_01G00077	Vacuole	Vacuole	eFG	eFG
FGRAMPH1_01G00077	Cell membrane	Cell membrane	eFG	eFG
FGRAMPH1_01G00077	Multi-pass membrane	Multi-pass membrane	eFG	eFG
FGRAMPH1_01G00081	Secreted	Secreted	eFG	eFG
FGRAMPH1_01G00081	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00081	Mitochondrion	Mitochondrion	eFG	eFG
FGRAMPH1_01G00081	Peroxisome	Peroxisome	eFG	eFG
FGRAMPH1_01G00083	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00083	Vacuole	Vacuole	eFG	eFG
FGRAMPH1_01G00083	Vacuole membrane	Vacuole	eFG	eFG
FGRAMPH1_01G00085	Endoplasmic reticulum	Endoplasmic reticulum	eFG	eFG
FGRAMPH1_01G00085	Golgi	Golgi	eFG	eFG
