gene_id	in_labels	in_fasta_source	duplicate_id	sequence_length	source_file	source_type	source_record_id	candidate_count	status
FBgn0000022	True	True	False	201	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000022	1	matched
FBgn0000032	True	True	False	438	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000032	1	matched
FBgn0000036	True	True	False	596	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000036	1	matched
FBgn0000037	True	True	False	788	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000037	1	matched
FBgn0000044	True	True	False	376	Fly_Essential_genes.xlsx	excel_primary	FBgn0000044	1	matched
FBgn0000075	True	True	False	510	Fly_Essential_genes.xlsx	excel_primary	FBgn0000075	1	matched
FBgn0000084	True	True	False	320	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000084	1	matched
FBgn0000092	True	True	False	260	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000092	1	matched
FBgn0000094	True	True	False	57	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000094	1	matched
FBgn0000100	True	True	False	317	Fly_Essential_genes.xlsx	excel_primary	FBgn0000100	1	matched
FBgn0000120	True	True	False	364	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000120	1	matched
FBgn0000121	True	True	False	401	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000121	1	matched
FBgn0000139	True	True	False	350	Fly_Essential_genes.xlsx	excel_primary	FBgn0000139	1	matched
FBgn0000152	True	True	False	646	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000152	1	matched
FBgn0000158	True	True	False	442	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000158	1	matched
FBgn0000181	True	True	False	169	Fly_Essential_genes.xlsx	excel_primary	FBgn0000181	1	matched
FBgn0000206	True	True	False	896	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000206	1	matched
FBgn0000216	True	True	False	81	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000216	1	matched
FBgn0000241	True	True	False	672	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000241	1	matched
FBgn0000244	True	True	False	720	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000244	1	matched
FBgn0000246	True	True	False	744	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000246	1	matched
FBgn0000247	True	True	False	1961	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000247	1	matched
FBgn0000259	True	True	False	215	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000259	1	matched
FBgn0000278	True	True	False	63	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000278	1	matched
FBgn0000286	True	True	False	482	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000286	1	matched
FBgn0000299	True	True	False	1779	Fly_Essential_genes.xlsx	excel_primary	FBgn0000299	1	matched
FBgn0000316	True	True	False	601	Fly_Essential_genes.xlsx	excel_primary	FBgn0000316	1	matched
FBgn0000318	True	True	False	126	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000318	1	matched
