gene_id	in_labels	source_occurrences	source_files	sequence_length	unique_sequences	in_fasta_source	duplicate_source_id	status
WBGene00000001	True	1	Celegans_NonEssential_genes.xlsx	522	1	True	False	matched
WBGene00000002	True	1	Celegans_NonEssential_genes.xlsx	493	1	True	False	matched
WBGene00000003	True	1	Celegans_NonEssential_genes.xlsx	483	1	True	False	matched
WBGene00000004	True	1	Celegans_NonEssential_genes.xlsx	493	1	True	False	matched
WBGene00000005	True	1	Celegans_NonEssential_genes.xlsx	526	1	True	False	matched
WBGene00000006	True	1	Celegans_NonEssential_genes.xlsx	537	1	True	False	matched
WBGene00000007	True	1	Celegans_NonEssential_genes.xlsx	523	1	True	False	matched
WBGene00000008	True	1	Celegans_NonEssential_genes.xlsx	500	1	True	False	matched
WBGene00000009	True	1	Celegans_NonEssential_genes.xlsx	483	1	True	False	matched
WBGene00000010	True	1	Celegans_NonEssential_genes.xlsx	541	1	True	False	matched
WBGene00000012	True	1	Celegans_NonEssential_genes.xlsx	85	1	True	False	matched
WBGene00000013	True	1	Celegans_NonEssential_genes.xlsx	85	1	True	False	matched
WBGene00000014	True	1	Celegans_NonEssential_genes.xlsx	89	1	True	False	matched
WBGene00000015	True	1	Celegans_NonEssential_genes.xlsx	123	1	True	False	matched
WBGene00000016	True	1	Celegans_NonEssential_genes.xlsx	129	1	True	False	matched
WBGene00000017	True	1	Celegans_NonEssential_genes.xlsx	195	1	True	False	matched
WBGene00000018	True	1	Celegans_NonEssential_genes.xlsx	1224	1	True	False	matched
WBGene00000019	True	1	Celegans_NonEssential_genes.xlsx	1558	1	True	False	matched
WBGene00000020	True	1	Celegans_NonEssential_genes.xlsx	2146	1	True	False	matched
WBGene00000022	True	1	Celegans_NonEssential_genes.xlsx	1802	1	True	False	matched
WBGene00000025	True	1	Celegans_NonEssential_genes.xlsx	572	1	True	False	matched
WBGene00000027	True	1	Celegans_NonEssential_genes.xlsx	339	1	True	False	matched
WBGene00000028	True	1	Celegans_NonEssential_genes.xlsx	335	1	True	False	matched
WBGene00000029	True	1	Celegans_NonEssential_genes.xlsx	388	1	True	False	matched
WBGene00000030	True	1	Celegans_NonEssential_genes.xlsx	438	1	True	False	matched
WBGene00000031	True	1	Celegans_NonEssential_genes.xlsx	445	1	True	False	matched
WBGene00000032	True	1	Celegans_NonEssential_genes.xlsx	378	1	True	False	matched
WBGene00000033	True	1	Celegans_NonEssential_genes.xlsx	375	1	True	False	matched
WBGene00000034	True	1	Celegans_NonEssential_genes.xlsx	395	1	True	False	matched
WBGene00000035	True	1	Celegans_NonEssential_genes.xlsx	620	1	True	False	matched
WBGene00000036	True	1	Celegans_NonEssential_genes.xlsx	629	1	True	False	matched
WBGene00000037	True	1	Celegans_NonEssential_genes.xlsx	607	1	True	False	matched
WBGene00000038	True	1	Celegans_NonEssential_genes.xlsx	602	1	True	False	matched
WBGene00000040	True	1	Celegans_NonEssential_genes.xlsx	887	1	True	False	matched
WBGene00000042	True	1	Celegans_NonEssential_genes.xlsx	575	1	True	False	matched
WBGene00000043	True	1	Celegans_NonEssential_genes.xlsx	487	1	True	False	matched
WBGene00000046	True	1	Celegans_NonEssential_genes.xlsx	538	1	True	False	matched
WBGene00000049	True	1	Celegans_NonEssential_genes.xlsx	557	1	True	False	matched
WBGene00000050	True	1	Celegans_NonEssential_genes.xlsx	461	1	True	False	matched
WBGene00000051	True	1	Celegans_NonEssential_genes.xlsx	482	1	True	False	matched
WBGene00000053	True	1	Celegans_NonEssential_genes.xlsx	500	1	True	False	matched
WBGene00000054	True	1	Celegans_NonEssential_genes.xlsx	479	1	True	False	matched
WBGene00000056	True	1	Celegans_NonEssential_genes.xlsx	515	1	True	False	matched
WBGene00000057	True	1	Celegans_NonEssential_genes.xlsx	510	1	True	False	matched
WBGene00000058	True	1	Celegans_NonEssential_genes.xlsx	560	1	True	False	matched
WBGene00000059	True	1	Celegans_NonEssential_genes.xlsx	511	1	True	False	matched
WBGene00000061	True	1	Celegans_NonEssential_genes.xlsx	434	1	True	False	matched
WBGene00000064	True	1	Celegans_Essential_genes.xlsx	376	1	True	False	matched
WBGene00000066	True	1	Celegans_Essential_genes.xlsx	376	1	True	False	matched
WBGene00000067	True	1	Celegans_Essential_genes.xlsx	375	1	True	False	matched
WBGene00000070	True	1	Celegans_NonEssential_genes.xlsx	1243	1	True	False	matched
WBGene00000072	True	1	Celegans_NonEssential_genes.xlsx	732	1	True	False	matched
WBGene00000073	True	1	Celegans_NonEssential_genes.xlsx	611	1	True	False	matched
