gene_id	recovered	recovery_status	recovery_source_file	recovery_source_type	chosen_source_record_id	candidate_count	chosen_sequence_length
FBgn0001281	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084963	1	140
FBgn0003482	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084486	1	270
FBgn0004431	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0072533	1	142
FBgn0011592	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086935	3	1526
FBgn0011829	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0081021	3	1235
FBgn0011832	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077483	1	245
FBgn0014848	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0293877	1	101
FBgn0020376	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077155	1	320
FBgn0025866	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076072	2	925
FBgn0026197	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0026197	1	74
FBgn0027949	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0080799	1	381
FBgn0030571	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308546	4	213
FBgn0030868	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0074248	1	125
FBgn0030914	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0074325	2	486
FBgn0031513	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290255	2	538
FBgn0032124	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0079428	1	292
FBgn0032439	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0079958	3	220
FBgn0032585	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0080422	1	619
FBgn0033461	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0087467	2	323
