gene_id	score_ORT_EXP_SUB	score_ORT_EXP_SUB_ESM2	rank_ORT_EXP_SUB	rank_ORT_EXP_SUB_ESM2	percentile_ORT_EXP_SUB	percentile_ORT_EXP_SUB_ESM2	delta_score	delta_rank	true_label	in_top100	in_top200	in_top500	in_top5percent
FGRAMPH1_01G18469	0.0013923170045018	0.9515317678451538	11386	496	0.12564319176714533	0.9619844865985715	0.950139450840652	10890		False	False	True	True
FGRAMPH1_01G18017	0.0529729127883911	0.9879976511001588	7494	81	0.42454496582443746	0.9938560786421934	0.9350247383117677	7413	0.0	True	True	True	True
FGRAMPH1_01G24479	0.1057248711585998	0.9531539678573608	6011	469	0.5384379079947776	0.9640580600568313	0.847429096698761	5542	1.0	False	False	True	True
FGRAMPH1_01G17083	0.2170702517032623	0.9955086708068848	4378	14	0.6638507027110053	0.9990016127793564	0.7784384191036224	4364	0.0	True	True	True	True
FGRAMPH1_01G01237	0.2174522429704666	0.9849580526351928	4374	109	0.6641578987788956	0.9917057061669611	0.7675058096647261	4265	0.0	False	True	True	True
FGRAMPH1_01G26671	0.1959324181079864	0.9523383975028992	4586	481	0.6478765071807081	0.9631364718531603	0.7564059793949127	4105	0.0	False	False	True	True
FGRAMPH1_01G06067	0.2139552384614944	0.96265971660614	4409	368	0.6614699331848553	0.9718147607710621	0.7487044781446457	4041	0.0	False	False	True	True
FGRAMPH1_01G26141	0.2514641284942627	0.98215252161026	4040	145	0.6898087704477383	0.988940941555948	0.7306883931159973	3895	0.0	False	True	True	True
FGRAMPH1_01G22917	0.2706278264522552	0.9805710911750792	3894	165	0.7010214269257353	0.9874049612164965	0.7099432647228241	3729	1.0	False	True	True	True
FGRAMPH1_01G07249	0.2917250394821167	0.9856559038162231	3741	105	0.7127716765225405	0.9920129022348514	0.6939308643341064	3636	1.0	False	True	True	True
FGRAMPH1_01G17373	0.3143602013587951	0.9720405340194702	3595	265	0.7239843330005375	0.9797250595192382	0.657680332660675	3330	1.0	False	False	True	True
FGRAMPH1_01G23327	0.31949183344841	0.9761991500854492	3578	222	0.7252899162890716	0.9830274172490592	0.6567073166370392	3356	1.0	False	False	True	True
FGRAMPH1_01G19487	0.3104470670223236	0.9534690380096436	3619	461	0.7221411565931957	0.9646724521926119	0.64302197098732	3158	1.0	False	False	True	True
FGRAMPH1_01G11323	0.3314405381679535	0.9587973356246948	3497	412	0.7315106366638506	0.9684356040242685	0.6273567974567413	3085	0.0	False	False	True	True
FGRAMPH1_01G20303	0.3640658557415008	0.9830585718154908	3302	137	0.7464864449735044	0.9895553336917288	0.6189927160739901	3165	1.0	False	True	True	True
FGRAMPH1_01G18641	0.3522379696369171	0.9605206251144408	3370	392	0.7412641118193687	0.9699715843637201	0.6082826554775237	2978	0.0	False	False	True	True
FGRAMPH1_01G02051	0.3733696639537811	0.9698464274406432	3247	290	0.7507103909069964	0.9778050840949236	0.5964767634868622	2957	1.0	False	False	True	True
FGRAMPH1_01G04705	0.3969621956348419	0.9871090650558472	3121	92	0.7603870670455418	0.993011289455495	0.5901468694210052	3029	0.0	True	True	True	True
FGRAMPH1_01G03115	0.3797792196273803	0.9608689546585084	3214	389	0.7532447584670916	0.9702019814146379	0.5810897350311282	2825	1.0	False	False	True	True
FGRAMPH1_01G06775	0.3927821218967438	0.9682997465133668	3144	310	0.7586206896551724	0.9762691037554719	0.575517624616623	2834		False	False	True	True
FGRAMPH1_01G01091	0.4201026558876037	0.9943416118621826	3026	26	0.7676829736579371	0.9980800245756855	0.5742389559745789	3000	1.0	True	True	True	True
FGRAMPH1_01G06691	0.419449120759964	0.9879418015480042	3029	83	0.7674525766070195	0.9937024806082482	0.5684926807880402	2946		True	True	True	True
FGRAMPH1_01G10747	0.4394774138927459	0.9839373230934144	2951	119	0.7734428999308809	0.9909377159972352	0.5444599092006686	2832	1.0	False	True	True	True
FGRAMPH1_01G03715	0.432704210281372	0.9748677015304564	2975	234	0.7715997235235389	0.9821058290453882	0.5421634912490845	2741	1.0	False	False	True	True
FGRAMPH1_01G06657	0.4194486141204834	0.9588804244995116	3030	409	0.7673757775900468	0.9686660010751862	0.5394318103790282	2621	0.0	False	False	True	True
FGRAMPH1_01G01889	0.4439048767089844	0.9683573842048644	2931	308	0.7749788802703326	0.9764227017894171	0.52445250749588	2623	0.0	False	False	True	True
FGRAMPH1_01G04999	0.4294792115688324	0.9527360796928406	2987	475	0.770678135319868	0.9635972659549957	0.5232568681240082	2512	1.0	False	False	True	True
FGRAMPH1_01G23215	0.4359707832336426	0.955369770526886	2963	451	0.7725213117272098	0.9654404423623377	0.5193989872932434	2512	0.0	False	False	True	True
FGRAMPH1_01G14545	0.4366587698459625	0.9559909105300904	2958	440	0.7729053068120728	0.9662852315490362	0.5193321406841279	2518		False	False	True	True
FGRAMPH1_01G19277	0.4494681656360626	0.9605252742767334	2902	391	0.7772060517625374	0.9700483833806928	0.5110571086406708	2511	0.0	False	False	True	True
FGRAMPH1_01G16349	0.51792311668396	0.998391568660736	2626	1	0.7984025804469703	1.0	0.480468451976776	2625	1.0	True	True	True	True
FGRAMPH1_01G17785	0.48990598320961	0.955146551132202	2732	452	0.7902618846478765	0.9653636433453652	0.46524056792259205	2280	0.0	False	False	True	True
FGRAMPH1_01G05071	0.535158634185791	0.996327817440033	2552	10	0.8040857077029414	0.9993088088472467	0.46116918325424194	2542	0.0	True	True	True	True
FGRAMPH1_01G10777	0.532599687576294	0.9836792349815368	2563	129	0.803240918516243	0.9901697258275094	0.4510795474052428	2434		False	True	True	True
FGRAMPH1_01G26267	0.519031286239624	0.9638632535934448	2622	360	0.7987097765148606	0.9724291529068428	0.4448319673538208	2262	1.0	False	False	True	True
FGRAMPH1_01G20021	0.5412542223930359	0.984679639339447	2524	111	0.8062360801781737	0.9915521081330159	0.44342541694641113	2413	0.0	False	True	True	True
FGRAMPH1_01G04899	0.546276867389679	0.9863262176513672	2503	100	0.807848859534598	0.9923968973197143	0.44004935026168823	2403	1.0	True	True	True	True
FGRAMPH1_01G24107	0.5295166373252869	0.9689634442329408	2576	302	0.8022425312955994	0.9768834958912526	0.4394468069076539	2274	0.0	False	False	True	True
FGRAMPH1_01G19061	0.5199143886566162	0.9561344385147096	2617	438	0.7990937715997235	0.9664388295829813	0.4362200498580934	2179		False	False	True	True
FGRAMPH1_01G23417	0.5417623519897461	0.9702430367469788	2523	286	0.8063128791951463	0.9781122801628139	0.42848068475723267	2237	1.0	False	False	True	True
FGRAMPH1_01G01607	0.5237457156181335	0.951846718788147	2606	491	0.7999385607864219	0.9623684816834345	0.4281010031700134	2115	0.0	False	False	True	True
FGRAMPH1_01G22455	0.5483621954917908	0.9757298231124878	2490	226	0.8088472467552416	0.9827202211811689	0.427367627620697	2264	1.0	False	False	True	True
FGRAMPH1_01G19357	0.5392515659332275	0.95911306142807	2532	408	0.8056216880423931	0.9687428000921589	0.4198614954948424	2124		False	False	True	True
FGRAMPH1_01G19857	0.5603700280189514	0.9750334620475768	2427	233	0.8136855848245143	0.9821826280623608	0.4146634340286254	2194		False	False	True	True
FGRAMPH1_01G19961	0.5666056275367737	0.957566261291504	2393	427	0.8162967514015821	0.9672836187696797	0.39096063375473034	1966	0.0	False	False	True	True
FGRAMPH1_01G14311	0.5755168199539185	0.95191890001297	2355	489	0.8192151140465402	0.9625220797173796	0.3764020800590515	1866	1.0	False	False	True	True
FGRAMPH1_01G20597	0.5991907119750977	0.9743524193763732	2253	241	0.8270486137777436	0.9815682359265802	0.3751617074012755	2012	1.0	False	False	True	True
FGRAMPH1_01G17945	0.6151428818702698	0.9855554103851318	2173	106	0.8331925351355502	0.9919361032178788	0.37041252851486206	2067	1.0	False	True	True	True
FGRAMPH1_01G24451	0.5969781875610352	0.9588521122932434	2269	410	0.8258198295061823	0.9685892020582136	0.36187392473220825	1859		False	False	True	True
FGRAMPH1_01G03657	0.6041993498802185	0.965222179889679	2233	343	0.8285845941171953	0.9737347361953766	0.36102283000946045	1890	1.0	False	False	True	True
FGRAMPH1_01G10683	0.6150691509246826	0.9748550057411194	2174	235	0.8331157361185777	0.9820290300284157	0.35978585481643677	1939		False	False	True	True
FGRAMPH1_01G00499	0.6274126172065735	0.9841938614845276	2112	117	0.8378772751708778	0.9910913140311804	0.3567812442779541	1995	0.0	False	True	True	True
FGRAMPH1_01G02769	0.5969206094741821	0.9531832933425904	2270	467	0.8257430304892097	0.9642116580907765	0.3562626838684083	1803	1.0	False	False	True	True
FGRAMPH1_01G24753	0.6061229109764099	0.9619581699371338	2217	373	0.8298133783887567	0.9714307656861992	0.3558352589607239	1844	1.0	False	False	True	True
FGRAMPH1_01G20749	0.6407527923583984	0.9914819002151488	2048	53	0.8427924122571231	0.9960064511174257	0.3507291078567504	1995	1.0	True	True	True	True
FGRAMPH1_01G02861	0.6343047618865967	0.985016107559204	2078	108	0.8404884417479457	0.9917825051839336	0.3507113456726073	1970	1.0	False	True	True	True
FGRAMPH1_01G06263	0.6353227496147156	0.9834449291229248	2074	133	0.840795637815836	0.9898625297596191	0.34812217950820923	1941	0.0	False	True	True	True
FGRAMPH1_01G01117	0.6269983649253845	0.9721949100494384	2116	264	0.8375700791029874	0.9798018585362107	0.34519654512405384	1852	1.0	False	False	True	True
FGRAMPH1_01G01891	0.630074679851532	0.9723743200302124	2097	261	0.8390292604254665	0.9800322555871285	0.3422996401786804	1836	1.0	False	False	True	True
FGRAMPH1_01G06803	0.6516810655593872	0.9933704137802124	2004	37	0.8461715690039168	0.9972352353889871	0.3416893482208252	1967	1.0	True	True	True	True
FGRAMPH1_01G01971	0.6119275093078613	0.9517828822135924	2189	492	0.831963750863989	0.9622916826664618	0.3398553729057311	1697	0.0	False	False	True	True
FGRAMPH1_01G19855	0.6362960934638977	0.9722650051116944	2068	263	0.8412564319176714	0.9798786575531833	0.33596891164779674	1805	1.0	False	False	True	True
FGRAMPH1_01G24455	0.6437118649482727	0.9776474237442015	2036	204	0.8437140004607941	0.9844097995545658	0.33393555879592884	1832	1.0	False	False	True	True
FGRAMPH1_01G26405	0.6553826928138733	0.9857242703437804	1987	103	0.8474771522924507	0.9921665002687966	0.3303415775299071	1884		False	True	True	True
FGRAMPH1_01G14849	0.6293157935142517	0.9578604102134703	2102	423	0.8386452653406036	0.96759081483757	0.32854461669921864	1679	1.0	False	False	True	True
FGRAMPH1_01G14553	0.6585107445716858	0.9799115061759948	1973	176	0.8485523385300668	0.9865601720297981	0.32140076160430897	1797		False	True	True	True
FGRAMPH1_01G11793	0.6571668982505798	0.9714580178260804	1981	275	0.8479379463942862	0.9789570693495123	0.3142911195755006	1706	0.0	False	False	True	True
FGRAMPH1_01G24587	0.648892343044281	0.9618120193481444	2016	378	0.8452499808002458	0.9710467706013363	0.3129196763038634	1638	1.0	False	False	True	True
FGRAMPH1_01G17079	0.6781672835350037	0.9849284291267396	1875	110	0.8560786421933799	0.9916289071499885	0.30676114559173595	1765		False	True	True	True
FGRAMPH1_01G06383	0.682298481464386	0.974124312400818	1855	246	0.8576146225328316	0.9811842408417172	0.291825830936432	1609	0.0	False	False	True	True
FGRAMPH1_01G18515	0.7004604935646057	0.9901058077812196	1773	66	0.8639121419245834	0.9950080638967821	0.2896453142166139	1707	1.0	True	True	True	True
FGRAMPH1_01G24119	0.6898807287216187	0.969566822052002	1811	294	0.8609937792796252	0.9774978880270333	0.2796860933303833	1517		False	False	True	True
FGRAMPH1_01G02193	0.7023892402648926	0.978040337562561	1766	200	0.8644497350433915	0.9847169956224561	0.27565109729766846	1566	1.0	False	True	True	True
FGRAMPH1_01G17533	0.6981375217437744	0.9733383059501648	1782	251	0.8632209507718301	0.9808002457568543	0.2752007842063904	1531	0.0	False	False	True	True
FGRAMPH1_01G08281	0.7099467515945435	0.977901816368103	1735	201	0.8668305045695415	0.9846401966054834	0.26795506477355957	1534	1.0	False	False	True	True
FGRAMPH1_01G17563	0.6908512115478516	0.9582355618476868	1808	417	0.8612241763305429	0.9680516089394056	0.2673843502998352	1391		False	False	True	True
