gene_id	in_labels	source_occurrences	source_files	sequence_length	unique_sequences	in_fasta_source	duplicate_source_id	status
S000000001	True	1	SC_E_genes.xlsx	1160	1	True	False	matched
S000000002	True	1	SC_NE_genes.xlsx	1274	1	True	False	matched
S000000003	True	1	SC_E_genes.xlsx	206	1	True	False	matched
S000000004	True	1	SC_NE_genes.xlsx	642	1	True	False	matched
S000000005	True	1	SC_NE_genes.xlsx	215	1	True	False	matched
S000000006	True	1	SC_NE_genes.xlsx	198	1	True	False	matched
S000000007	True	1	SC_NE_genes.xlsx	259	1	True	False	matched
S000000008	True	1	SC_NE_genes.xlsx	493	1	True	False	matched
S000000009	True	1	SC_NE_genes.xlsx	625	1	True	False	matched
S000000010	True	1	SC_NE_genes.xlsx	394	1	True	False	matched
S000000011	True	1	SC_NE_genes.xlsx	405	1	True	False	matched
S000000012	True	1	SC_NE_genes.xlsx	255	1	True	False	matched
S000000013	True	1	SC_NE_genes.xlsx	399	1	True	False	matched
S000000014	True	1	SC_NE_genes.xlsx	635	1	True	False	matched
S000000015	True	1	SC_NE_genes.xlsx	1356	1	True	False	matched
S000000016	True	1	SC_NE_genes.xlsx	325	1	True	False	matched
S000000017	True	1	SC_NE_genes.xlsx	1131	1	True	False	matched
S000000018	True	1	SC_NE_genes.xlsx	333	1	True	False	matched
S000000019	True	1	SC_NE_genes.xlsx	837	1	True	False	matched
S000000020	True	1	SC_NE_genes.xlsx	517	1	True	False	matched
S000000021	True	1	SC_NE_genes.xlsx	759	1	True	False	matched
S000000022	True	1	SC_NE_genes.xlsx	1435	1	True	False	matched
S000000023	True	1	SC_E_genes.xlsx	306	1	True	False	matched
S000000024	True	1	SC_NE_genes.xlsx	1355	1	True	False	matched
S000000025	True	1	SC_NE_genes.xlsx	261	1	True	False	matched
S000000026	True	1	SC_NE_genes.xlsx	528	1	True	False	matched
S000000027	True	1	SC_NE_genes.xlsx	1471	1	True	False	matched
S000000028	True	1	SC_NE_genes.xlsx	117	1	True	False	matched
S000000029	True	1	SC_NE_genes.xlsx	760	1	True	False	matched
S000000030	True	1	SC_E_genes.xlsx	379	1	True	False	matched
S000000031	True	1	SC_E_genes.xlsx	173	1	True	False	matched
S000000032	True	1	SC_E_genes.xlsx	289	1	True	False	matched
S000000033	True	1	SC_NE_genes.xlsx	1002	1	True	False	matched
S000000034	True	1	SC_NE_genes.xlsx	369	1	True	False	matched
S000000035	True	1	SC_NE_genes.xlsx	267	1	True	False	matched
S000000036	True	1	SC_E_genes.xlsx	500	1	True	False	matched
S000000037	True	1	SC_NE_genes.xlsx	269	1	True	False	matched
S000000038	True	1	SC_NE_genes.xlsx	580	1	True	False	matched
S000000039	True	1	SC_E_genes.xlsx	854	1	True	False	matched
S000000040	True	1	SC_NE_genes.xlsx	415	1	True	False	matched
S000000041	True	1	SC_E_genes.xlsx	785	1	True	False	matched
S000000042	True	1	SC_NE_genes.xlsx	170	1	True	False	matched
S000000044	True	1	SC_NE_genes.xlsx	118	1	True	False	matched
S000000045	True	1	SC_NE_genes.xlsx	622	1	True	False	matched
S000000046	True	1	SC_NE_genes.xlsx	662	1	True	False	matched
S000000047	True	1	SC_NE_genes.xlsx	246	1	True	False	matched
S000000048	True	1	SC_NE_genes.xlsx	1047	1	True	False	matched
S000000049	True	1	SC_NE_genes.xlsx	783	1	True	False	matched
S000000050	True	1	SC_NE_genes.xlsx	713	1	True	False	matched
S000000051	True	1	SC_NE_genes.xlsx	180	1	True	False	matched
S000000052	True	1	SC_NE_genes.xlsx	880	1	True	False	matched
S000000054	True	1	SC_NE_genes.xlsx	502	1	True	False	matched
S000000055	True	1	SC_NE_genes.xlsx	212	1	True	False	matched
S000000056	True	1	SC_NE_genes.xlsx	382	1	True	False	matched
S000000057	True	1	SC_NE_genes.xlsx	417	1	True	False	matched
S000000058	True	1	SC_NE_genes.xlsx	457	1	True	False	matched
S000000062	True	1	SC_NE_genes.xlsx	593	1	True	False	matched
S000000063	True	1	SC_NE_genes.xlsx	539	1	True	False	matched
