gene_id	canonical_gene_id	split	label	is_labeled	in_graph	score_baseline	score_ESM2	mean_raw_score_baseline	mean_raw_score_ESM2	rank_baseline	rank_ESM2	delta_score	percentile_gain	rank_gain	n_seeds_baseline	n_seeds_ESM2	top100_baseline	top100_ESM2	candidate_class_top100	top200_baseline	top200_ESM2	candidate_class_top200	top500_baseline	top500_ESM2	candidate_class_top500	rescued_definition
FGRAMPH1_01G18017	fgraminearum::FGRAMPH1_01G18017	train	0.0	True	True	0.4127783750575948	0.9670864690523728	0.15013119019567964	0.872968876361847	7650	380	0.554308093994778	0.554308093994778	7270	5	5	False	False	Neither	False	False	Neither	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G26309	fgraminearum::FGRAMPH1_01G26309	train	1.0	True	False	0.5947319920135156	0.9615880817078789	0.18892329335212704	0.9497436285018921	5308	465	0.36685608969436334	0.36685608969436334	4843	5	5	False	False	Neither	False	False	Neither	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G17083	fgraminearum::FGRAMPH1_01G17083	test	0.0	True	False	0.6325295653509445	0.9991706343111657	0.2191460072994232	0.996734619140625	4692	5	0.3666410689602212	0.3666410689602212	4687	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G01237	fgraminearum::FGRAMPH1_01G01237	train	0.0	True	False	0.6333896482875134	0.9848871141145754	0.22029622793197629	0.9787359833717346	4677	159	0.351497465827062	0.351497465827062	4518	5	5	False	False	Neither	False	True	ESM2_unique	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G26671	fgraminearum::FGRAMPH1_01G26671	test	0.0	True	False	0.6394255874673629	0.9761326985102136	0.2277091771364212	0.9688266277313232	4609	263	0.33670711104285067	0.33670711104285067	4346	5	5	False	False	Neither	False	False	Neither	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G06067	fgraminearum::FGRAMPH1_01G06067	train	0.0	True	False	0.6303025648901859	0.9599293503302103	0.21640698313713075	0.9443956971168518	4720	482	0.32962678544002444	0.32962678544002444	4238	5	5	False	False	Neither	False	False	Neither	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G22917	fgraminearum::FGRAMPH1_01G22917	train	1.0	True	False	0.6641683305175856	0.9825065274151437	0.2623934060335159	0.9759129166603089	4320	189	0.31833819689755805	0.31833819689755805	4131	5	5	False	False	Neither	False	True	ESM2_unique	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G17373	fgraminearum::FGRAMPH1_01G17373	train	1.0	True	True	0.6607587160190447	0.9749654430962986	0.259364777803421	0.9657641172409057	4372	281	0.31420672707725394	0.31420672707725394	4091	5	5	False	False	Neither	False	False	Neither	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G07249	fgraminearum::FGRAMPH1_01G07249	train	1.0	True	False	0.6747504223621563	0.9919674397174013	0.2796673893928528	0.986462390422821	4159	76	0.317217017355245	0.317217017355245	4083	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
FGRAMPH1_01G25957	fgraminearum::FGRAMPH1_01G25957	train	1.0	True	True	0.6480571340807864	0.9589617570265704	0.2895585715770721	0.9461732387542725	4521	489	0.310904622945784	0.310904622945784	4032	5	5	False	False	Neither	False	False	Neither	False	True	ESM2_unique	not Top500 baseline; Top500 ESM2; rank_gain >= 500 or percentile_gain >= 0.2
