gene_id	split	split_source	split_strategy	random_seed
S000004262	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000006052	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002394	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004754	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003556	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002260	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002802	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004347	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005234	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002218	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005783	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002489	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005122	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005686	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001110	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002644	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003327	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003137	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003710	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004778	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001125	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003803	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000188	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005643	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001366	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004714	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002161	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005200	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003023	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005226	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000760	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000006434	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004911	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000006072	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000339	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003539	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003931	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002428	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005880	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000371	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005105	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000006081	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003483	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002598	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001678	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004264	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004529	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003427	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004282	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000364	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004842	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001894	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000522	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002648	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001405	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000003833	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001308	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001502	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000004432	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002710	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001451	test	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005075	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005493	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000005937	val	ProGATE_v2_stratified_rebuild	70/15/15	42
S000001901	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000000003	train	ProGATE_v2_stratified_rebuild	70/15/15	42
S000002707	train	ProGATE_v2_stratified_rebuild	70/15/15	42
