ph1_gene_id	orthogroup_id	has_scer_essential_ortholog	has_spom_essential_ortholog	has_any_yeast_essential	scer_essential_gene_ids	spom_essential_gene_ids	fg_occupancy_18	fg_presence_count_18	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	is_strict_core_18	is_exact_single_copy_core_18	yeast_essential_support_class	weak_positive_confidence	source_protein_id	source_header	sequence_length	sequence_sha256	header_fgsg_id	legacy_protein_accession	legacy_seq_match_count	fgsg_candidate_count	unified_candidate_count	resolved_canonical_gene_id	bridge_status	bridge_method	mapping_confidence	has_resolved_canonical	canonical_gene_id	dropped_reason
XP_011317447.1	OG0001774	0	1	1		SPAC1751.02c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011317447.1	XP_011317447.1 ribosomal protein S19 [Fusarium graminearum PH-1]	97	2f6d1f3cafb081c87cc2c6f35e48dfdeef09ff4c0a44a015e69a589cfaa7691e			0	0	0		unresolved	no_sequence_or_fgsg_bridge	unresolved	False		no_sequence_or_fgsg_bridge
XP_011326455.1	OG0002057	1	1	1	YER012W	SPAC31A2.04c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011326455.1	XP_011326455.1 hypothetical protein FGSG_06803 [Fusarium graminearum PH-1]	204	abd72f9274ce095ecc7ff91493d1a7750bbaab6cc8aac317e0031a87fdde76ca	FGSG_06803		0	0	0		unresolved	header_fgsg_not_mapped_to_canonical	unresolved	False		header_fgsg_not_mapped_to_canonical
XP_011326391.1	OG0002417	0	1	1		SPAC23H3.02c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011326391.1	XP_011326391.1 pre-mRNA-splicing factor ini1 [Fusarium graminearum PH-1]	110	c3c2804b1cf39fb7750af0c5bf61f0861fb3d76fad2d7b0df5561e4a3909ce54			0	0	0		unresolved	no_sequence_or_fgsg_bridge	unresolved	False		no_sequence_or_fgsg_bridge
XP_011320011.1	OG0002634	0	1	1		SPAC821.10c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011320011.1	XP_011320011.1 superoxide dismutase [Fusarium graminearum PH-1]	154	c327a039b8e52fccce93c113a14a2b72125675643e4e6f302a6c61e5fc4b1474			0	0	0		unresolved	no_sequence_or_fgsg_bridge	unresolved	False		no_sequence_or_fgsg_bridge
XP_011316018.1	OG0002753	1	1	1	YBL026W	SPCC1620.01c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316018.1	XP_011316018.1 hypothetical protein FGSG_00360 [Fusarium graminearum PH-1]	98	ca1310f615f6d11159c56c12baee2ba529d2d483cf885b05009de727e71c650a	FGSG_00360		0	0	0		unresolved	header_fgsg_not_mapped_to_canonical	unresolved	False		header_fgsg_not_mapped_to_canonical
XP_011316136.1	OG0002775	1	0	1	YJR022W		1.0000	18	1.0000	1.0	1	1.0000	1	1	scer_only	high	XP_011316136.1	XP_011316136.1 hypothetical protein FGSG_00466 [Fusarium graminearum PH-1]	99	a4fa6676ecda180c8bc609e88b4764e01ce2e5d05feb6feaa05ee7e5d9d4355b	FGSG_00466		0	0	0		unresolved	header_fgsg_not_mapped_to_canonical	unresolved	False		header_fgsg_not_mapped_to_canonical
XP_011317278.1	OG0003418	1	1	1	YGR211W	SPAC15A10.04c.1:pep	0.9444	17	0.9444	1.0	1	0.9444	0	0	both	high	XP_011317278.1	XP_011317278.1 hypothetical protein FGSG_11959 [Fusarium graminearum PH-1]	147	666bc5286883020fa9f7175e0197f9d77aa552e6d254a4625c2027145949913a	FGSG_11959		0	0	0		unresolved	header_fgsg_not_mapped_to_canonical	unresolved	False		header_fgsg_not_mapped_to_canonical
XP_011327959.1	OG0003946	1	1	1	YNR054C	SPBC28E12.05.1:pep	0.9444	17	0.9444	1.0	1	0.9444	0	0	both	high	XP_011327959.1	XP_011327959.1 hypothetical protein FGSG_09761 [Fusarium graminearum PH-1]	321	31bd1f2ea2f98f39a41e3d9b1905b48ac8dc555d892347bf0b508a0856733c31	FGSG_09761	Q4HZ47	1	0	0		unresolved	header_fgsg_not_mapped_to_canonical	unresolved	False		header_fgsg_not_mapped_to_canonical
