raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
229533.A0A098CYV1	14	FGRAMPH1_01T00009(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00009	mapped	alias_match	KEGG_EC; KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID
229533.A0A098CYW5	6	FGRAMPH1_01T00007(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00007	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CYZ1	11	FGRAMPH1_01T00089(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00089	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZ12	11	FGRAMPH1_01T00129(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00129	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZ22	6	FGRAMPH1_01T00107(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00107	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZ35	6	FGRAMPH1_01T00179(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00179	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZ58	11	FGRAMPH1_01T00177(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00177	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZ63	11	FGRAMPH1_01T00187(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00187	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZ89	7	FGRAMPH1_01T00299(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00299	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_Name
229533.A0A098CZA5	11	FGRAMPH1_01T00339(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00339	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZE4	6	FGRAMPH1_01T00337(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00337	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZE9	11	FGRAMPH1_01T00347(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00347	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZG3	12	FGRAMPH1_01T00467(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00467	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZG8	12	FGRAMPH1_01T00387(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00387	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZH1	6	FGRAMPH1_01T00487(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00487	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZI6	6	FGRAMPH1_01T00425(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00425	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZJ0	6	FGRAMPH1_01T00435(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00435	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZJ5	6	FGRAMPH1_01T00445(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00445	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZR6	12	FGRAMPH1_01T00555(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00555	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZS6	11	FGRAMPH1_01T00573(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00573	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZU2	12	FGRAMPH1_01T00625(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00625	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZU7	11	FGRAMPH1_01T00643(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00643	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZU8	14	FGRAMPH1_01T00645(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00645	mapped	alias_match	KEGG_PRODUCT; KEGG_GENEID; KEGG_EC; UniProt_AC; Uniprot
229533.A0A098CZV0	12	FGRAMPH1_01T00653(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00653	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZV6	7	FGRAMPH1_01T00671(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00671	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_Name
229533.A0A098CZW5	12	FGRAMPH1_01T00703(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00703	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZX2	6	FGRAMPH1_01T00723(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00723	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098CZX5	11	FGRAMPH1_01T00733(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00733	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098CZX6	6	FGRAMPH1_01T00735(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00735	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D010	12	FGRAMPH1_01T00851(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00851	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D028	12	FGRAMPH1_01T00913(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00913	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D038	6	FGRAMPH1_01T00005(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00005	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D053	12	FGRAMPH1_01T00035(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00035	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D054	7	FGRAMPH1_01T00951(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00951	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_Name
229533.A0A098D057	6	FGRAMPH1_01T00045(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00045	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D065	15	FGRAMPH1_01T01003(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G01003	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_AC; UniProt_AC
229533.A0A098D069	11	FGRAMPH1_01T00021(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00021	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D086	6	FGRAMPH1_01T01021(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G01021	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D091	12	FGRAMPH1_01T00115(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00115	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D094	11	FGRAMPH1_01T01065(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G01065	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D095	6	FGRAMPH1_01T00071(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00071	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D0A0	12	FGRAMPH1_01T00081(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00081	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D0B5	12	FGRAMPH1_01T00111(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00111	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D0C1	11	FGRAMPH1_01T01103(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G01103	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D0C2	6	FGRAMPH1_01T00175(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00175	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D0D7	12	FGRAMPH1_01T00205(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00205	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D0D9	12	FGRAMPH1_01T01153(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G01153	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
229533.A0A098D0E5	6	FGRAMPH1_01T01155(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G01155	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D0F0	6	FGRAMPH1_01T00181(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00181	mapped	alias_match	UniProt_AC; Uniprot; UniProt_ID; UniProt_AC; UniProt_GN_ORFNames
229533.A0A098D0F6	11	FGRAMPH1_01T00191(UniProt_GN_ORFNames (via ph1_tsv))	FGRAMPH1_01G00191	mapped	alias_match	KEGG_GENEID; UniProt_AC; Uniprot; UniProt_ID; UniProt_AC
