gene_id	canonical_gene_id	split	label	is_labeled	in_graph	score_baseline	score_ESM2	mean_raw_score_baseline	mean_raw_score_ESM2	rank_baseline	rank_ESM2	delta_score	percentile_gain	rank_gain	n_seeds_baseline	n_seeds_ESM2	top100_baseline	top100_ESM2	candidate_class_top100	top200_baseline	top200_ESM2	candidate_class_top200	top500_baseline	top500_ESM2	candidate_class_top500
FGRAMPH1_01G16349	fgraminearum::FGRAMPH1_01G16349	train	1.0	True	True	0.7784057748425741	0.9998924896329289	0.5100484251976013	0.9985379934310913	2864	1	0.22148671479035476	0.22148671479035476	2863	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G20699	FGRAMPH1_01G20699			False	True	0.9722469666717861	0.9996621102749194	0.9261832118034363	0.9971354484558106	334	2	0.02741514360313324	0.02741514360313324	332	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G27263	FGRAMPH1_01G27263			False	True	0.9696360006143449	0.9995238826601136	0.9219551920890808	0.9963568329811097	380	3	0.029887882045768754	0.029887882045768754	377	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G20745	fgraminearum::FGRAMPH1_01G20745	train	1.0	True	True	0.942082629396406	0.9992474274305023	0.8765797138214111	0.9961172103881836	736	4	0.057164798034096354	0.057164798034096354	732	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G17083	fgraminearum::FGRAMPH1_01G17083	test	0.0	True	False	0.6325295653509445	0.9991706343111657	0.2191460072994232	0.996734619140625	4692	5	0.3666410689602212	0.3666410689602212	4687	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G18095	fgraminearum::FGRAMPH1_01G18095	test	1.0	True	True	0.9747504223621564	0.9991706343111657	0.930586290359497	0.9964520096778869	303	6	0.02442021194900934	0.02442021194900934	297	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G02111	fgraminearum::FGRAMPH1_01G02111	test	1.0	True	True	0.9973122408232221	0.9991091998156966	0.9839759588241577	0.9952170491218567	25	7	0.0017969589924744511	0.0017969589924744511	18	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G26257	fgraminearum::FGRAMPH1_01G26257	train	1.0	True	True	0.9841345415450775	0.9989248963292889	0.9484385132789612	0.9950661063194275	184	8	0.014790354784211424	0.014790354784211424	176	5	5	False	True	ESM2_unique	True	True	Shared	True	True	Shared
FGRAMPH1_01G18741	fgraminearum::FGRAMPH1_01G18741	train	1.0	True	True	0.9712025802488096	0.9987405928428814	0.9245358109474182	0.9947083592414856	351	9	0.027538012594071848	0.027538012594071848	342	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G22909	fgraminearum::FGRAMPH1_01G22909	test	1.0	True	True	0.9982491168791275	0.9987405928428814	0.9891971349716187	0.9947755575180054	15	10	0.0004914759637538735	0.0004914759637538735	5	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G06377	fgraminearum::FGRAMPH1_01G06377	val	1.0	True	True	0.997865151282445	0.9986330824758103	0.9870205879211426	0.9944143652915954	19	11	0.0007679311933652677	0.0007679311933652677	8	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G18365	fgraminearum::FGRAMPH1_01G18365	test	1.0	True	True	0.9986637997235448	0.9986177238519428	0.9917231798171997	0.994400930404663	10	12	-4.607587160199156e-05	-4.607587160199156e-05	-2	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G15207	fgraminearum::FGRAMPH1_01G15207	test	1.0	True	True	0.9905390876977422	0.9985716479803409	0.9612903952598572	0.9948055386543274	103	13	0.008032560282598689	0.008032560282598689	90	5	5	False	True	ESM2_unique	True	True	Shared	True	True	Shared
FGRAMPH1_01G01091	fgraminearum::FGRAMPH1_01G01091	train	1.0	True	False	0.726493626171095	0.9985562893564737	0.38298141956329346	0.9950322031974792	3509	14	0.27206266318537864	0.27206266318537864	3495	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G10303	fgraminearum::FGRAMPH1_01G10303	train	1.0	True	True	0.9370296421440638	0.9984487789894025	0.8674469232559204	0.994307279586792	807	15	0.06141913684533873	0.06141913684533873	792	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G26211	fgraminearum::FGRAMPH1_01G26211	train	1.0	True	True	0.9987713100906159	0.9983873444939334	0.9904865264892578	0.9942737102508545	9	16	-0.00038396559668252284	-0.00038396559668252284	-7	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G03561	fgraminearum::FGRAMPH1_01G03561	train	1.0	True	True	0.9977269236676394	0.9982951927507295	0.9863982558250427	0.9942199230194092	22	17	0.000568269083090156	0.000568269083090156	5	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G06929	fgraminearum::FGRAMPH1_01G06929	train	1.0	True	True	0.9523882660113653	0.9981569651359239	0.8932438373565674	0.9939876317977905	585	18	0.04576869912455861	0.04576869912455861	567	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G06803	fgraminearum::FGRAMPH1_01G06803	train	1.0	True	False	0.8181538934111504	0.99806481339272	0.6136512756347656	0.9943604469299316	2347	19	0.1799109199815696	0.1799109199815696	2328	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G17979	fgraminearum::FGRAMPH1_01G17979	test	1.0	True	True	0.9832130241130395	0.9980033788972508	0.9464542746543885	0.9939223766326905	195	20	0.014790354784211313	0.014790354784211313	175	5	5	False	True	ESM2_unique	True	True	Shared	True	True	Shared
FGRAMPH1_01G17773	fgraminearum::FGRAMPH1_01G17773	train	1.0	True	True	0.9666410689602213	0.9979112271540471	0.9236149430274964	0.9936690926551819	409	21	0.03127015819382584	0.03127015819382584	388	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G19999	fgraminearum::FGRAMPH1_01G19999	train	1.0	True	True	0.9687144831823069	0.9978958685301796	0.9208325028419495	0.9930146217346192	394	22	0.029181385347872735	0.029181385347872735	372	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G04637	fgraminearum::FGRAMPH1_01G04637	train	1.0	True	True	0.9998617723851944	0.997803716786976	0.997157347202301	0.9933424830436707	1	23	-0.002058055598218367	-0.002058055598218367	-22	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G10493	fgraminearum::FGRAMPH1_01G10493	train	1.0	True	True	0.9654891721701736	0.9977883581631086	0.9151293516159058	0.9934533715248108	427	24	0.03229918599293502	0.03229918599293502	403	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G26285	fgraminearum::FGRAMPH1_01G26285	test	1.0	True	True	0.9985716479803409	0.9977729995392413	0.9904273390769959	0.9938004016876221	11	25	-0.0007986484410996697	-0.0007986484410996697	-14	5	5	True	True	Shared	True	True	Shared	True	True	Shared
