gene_id	protocol	species	true_label	gene_set	gene_set_definition	feature_group	plot_value	raw_mean_contribution	n_seed_observations	seed_aggregation	value_transform	plot_value_definition
FGRAMPH1_01G00041	fgraminearum_newlabel	fgraminearum	0	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ORT	9.380904385686588e-08	9.380904385686588e-08	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00041	fgraminearum_newlabel	fgraminearum	0	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	EXP	-7.396542042021736e-07	-7.396542042021736e-07	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00041	fgraminearum_newlabel	fgraminearum	0	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	SUB	-8.033392154830915e-07	-8.033392154830915e-07	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00041	fgraminearum_newlabel	fgraminearum	0	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ESM2	-0.4651802004488559	-0.4651802004488559	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00465	fgraminearum_newlabel	fgraminearum	1	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ORT	0.006360113620758057	0.006360113620758057	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00465	fgraminearum_newlabel	fgraminearum	1	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	EXP	0.021201300621032714	0.021201300621032714	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00465	fgraminearum_newlabel	fgraminearum	1	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	SUB	0.03833545446395874	0.03833545446395874	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00465	fgraminearum_newlabel	fgraminearum	1	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ESM2	0.27888891100883484	0.27888891100883484	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00505	fgraminearum_newlabel	fgraminearum	0	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ORT	-0.0001527573817384109	-0.0001527573817384109	5	mean_across_seeds	none	probability_full - probability_drop_group
FGRAMPH1_01G00505	fgraminearum_newlabel	fgraminearum	0	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	EXP	1.76998519236804e-06	1.76998519236804e-06	5	mean_across_seeds	none	probability_full - probability_drop_group
