canonical_gene_id	graph_gene_id	label	construction_bucket	support_source	primary_source_key	yeast_support_class	has_yeast_transfer_support	has_phi_essential_lethal_support	is_old_positive	supporting_orthogroup_ids	orthogroup_stage_detail	supporting_xp_ids	scer_essential_gene_ids	spom_essential_gene_ids	bridge_methods	mapped_fusarium_gene	final_label_class	supporting_evidence_flags	source_manifest
fgraminearum::FGRAMPH1_01G00391	FGRAMPH1_01G00391	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G00391	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G00811	FGRAMPH1_01G00811	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G00811	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G00987	FGRAMPH1_01G00987	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G00987	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G01439	FGRAMPH1_01G01439	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G01439	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G02007	FGRAMPH1_01G02007	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G02007	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G02825	FGRAMPH1_01G02825	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G02825	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G03379	FGRAMPH1_01G03379	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G03379	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G03923	FGRAMPH1_01G03923	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	False		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G03923	Essential (positive)	phi_base_essential_lethal	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G04197	FGRAMPH1_01G04197	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G04197	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G04933	FGRAMPH1_01G04933	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G04933	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
