gene_id	split	split_source	split_strategy	random_seed
ENSG00000104979	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000182872	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000132153	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000092036	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000140829	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000173436	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000174444	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000164494	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000113456	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000086589	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000111300	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000136888	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000110871	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000100902	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000129084	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000253729	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000145414	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000088766	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000116830	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000136942	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000172339	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000106459	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000143314	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000169813	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000165501	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000086189	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000137814	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000213024	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000179271	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000072501	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000159086	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000183814	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000007923	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000112972	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000136527	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000136875	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000111642	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000125952	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000119383	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000135837	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000178999	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000089048	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000142751	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000109971	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000172757	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000174446	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000163933	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000102384	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000176407	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000173113	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000005007	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000063978	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000177646	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000110921	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000114503	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000113407	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000138107	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000134684	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000074935	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000198301	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000139131	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000091651	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000111229	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000198522	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000039123	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000149136	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000170473	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000171453	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000184110	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000107960	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000172269	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000102967	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000119318	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000112130	test	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000225921	val	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000164880	train	ProGATE_v2_stratified_rebuild	70/15/15	42
ENSG00000114354	train	ProGATE_v2_stratified_rebuild	70/15/15	42
