gene_id	in_labels	source_occurrences	source_files	sequence_length	unique_sequences	in_fasta_source	duplicate_source_id	status
FGRAMPH1_01G00001	True	1	FG_NonEssential_genes.xlsx	1378	1	True	False	matched
FGRAMPH1_01G00003	True	1	FG_NonEssential_genes.xlsx	206	1	True	False	matched
FGRAMPH1_01G00005	True	1	FG_NonEssential_genes.xlsx	199	1	True	False	matched
FGRAMPH1_01G00007	True	1	FG_NonEssential_genes.xlsx	73	1	True	False	matched
FGRAMPH1_01G00009	True	1	FG_NonEssential_genes.xlsx	403	1	True	False	matched
FGRAMPH1_01G00011	True	1	FG_NonEssential_genes.xlsx	110	1	True	False	matched
FGRAMPH1_01G00013	True	1	FG_NonEssential_genes.xlsx	1135	1	True	False	matched
FGRAMPH1_01G00015	True	1	FG_NonEssential_genes.xlsx	118	1	True	False	matched
FGRAMPH1_01G00017	True	1	FG_NonEssential_genes.xlsx	465	1	True	False	matched
FGRAMPH1_01G00019	True	1	FG_NonEssential_genes.xlsx	115	1	True	False	matched
FGRAMPH1_01G00021	True	1	FG_NonEssential_genes.xlsx	458	1	True	False	matched
FGRAMPH1_01G00023	True	1	FG_Essential_genes.xlsx	221	1	True	False	matched
FGRAMPH1_01G00025	True	1	FG_NonEssential_genes.xlsx	377	1	True	False	matched
FGRAMPH1_01G00027	True	1	FG_NonEssential_genes.xlsx	222	1	True	False	matched
FGRAMPH1_01G00029	True	1	FG_NonEssential_genes.xlsx	131	1	True	False	matched
FGRAMPH1_01G00031	True	1	FG_NonEssential_genes.xlsx	159	1	True	False	matched
FGRAMPH1_01G00033	True	1	FG_NonEssential_genes.xlsx	140	1	True	False	matched
FGRAMPH1_01G00035	True	1	FG_NonEssential_genes.xlsx	93	1	True	False	matched
FGRAMPH1_01G00037	True	1	FG_NonEssential_genes.xlsx	732	1	True	False	matched
FGRAMPH1_01G00039	True	1	FG_NonEssential_genes.xlsx	560	1	True	False	matched
FGRAMPH1_01G00041	True	1	FG_NonEssential_genes.xlsx	955	1	True	False	matched
FGRAMPH1_01G00043	True	1	FG_NonEssential_genes.xlsx	86	1	True	False	matched
FGRAMPH1_01G00045	True	1	FG_NonEssential_genes.xlsx	95	1	True	False	matched
FGRAMPH1_01G00047	True	1	FG_NonEssential_genes.xlsx	223	1	True	False	matched
FGRAMPH1_01G00049	True	1	FG_NonEssential_genes.xlsx	729	1	True	False	matched
FGRAMPH1_01G00051	True	1	FG_NonEssential_genes.xlsx	296	1	True	False	matched
FGRAMPH1_01G00053	True	1	FG_NonEssential_genes.xlsx	529	1	True	False	matched
FGRAMPH1_01G00055	True	1	FG_NonEssential_genes.xlsx	682	1	True	False	matched
FGRAMPH1_01G00057	True	1	FG_NonEssential_genes.xlsx	108	1	True	False	matched
FGRAMPH1_01G00059	True	1	FG_Essential_genes.xlsx	116	1	True	False	matched
FGRAMPH1_01G00061	True	1	FG_NonEssential_genes.xlsx	225	1	True	False	matched
FGRAMPH1_01G00063	True	1	FG_NonEssential_genes.xlsx	209	1	True	False	matched
FGRAMPH1_01G00065	True	1	FG_NonEssential_genes.xlsx	506	1	True	False	matched
FGRAMPH1_01G00067	True	1	FG_NonEssential_genes.xlsx	518	1	True	False	matched
FGRAMPH1_01G00069	True	1	FG_NonEssential_genes.xlsx	534	1	True	False	matched
FGRAMPH1_01G00071	True	1	FG_NonEssential_genes.xlsx	422	1	True	False	matched
FGRAMPH1_01G00073	True	1	FG_NonEssential_genes.xlsx	233	1	True	False	matched
FGRAMPH1_01G00075	True	1	FG_NonEssential_genes.xlsx	393	1	True	False	matched
FGRAMPH1_01G00077	True	1	FG_NonEssential_genes.xlsx	538	1	True	False	matched
FGRAMPH1_01G00079	True	1	FG_NonEssential_genes.xlsx	107	1	True	False	matched
FGRAMPH1_01G00081	True	1	FG_NonEssential_genes.xlsx	314	1	True	False	matched
FGRAMPH1_01G00083	True	1	FG_NonEssential_genes.xlsx	564	1	True	False	matched
FGRAMPH1_01G00085	True	1	FG_NonEssential_genes.xlsx	350	1	True	False	matched
FGRAMPH1_01G00087	True	1	FG_NonEssential_genes.xlsx	542	1	True	False	matched
FGRAMPH1_01G00089	True	1	FG_NonEssential_genes.xlsx	1031	1	True	False	matched
FGRAMPH1_01G00091	True	1	FG_NonEssential_genes.xlsx	328	1	True	False	matched
FGRAMPH1_01G00093	True	1	FG_NonEssential_genes.xlsx	358	1	True	False	matched
FGRAMPH1_01G00095	True	1	FG_NonEssential_genes.xlsx	263	1	True	False	matched
FGRAMPH1_01G00097	True	1	FG_NonEssential_genes.xlsx	379	1	True	False	matched
FGRAMPH1_01G00099	True	1	FG_NonEssential_genes.xlsx	509	1	True	False	matched
FGRAMPH1_01G00101	True	1	FG_NonEssential_genes.xlsx	405	1	True	False	matched
FGRAMPH1_01G00103	True	1	FG_NonEssential_genes.xlsx	505	1	True	False	matched
FGRAMPH1_01G00105	True	1	FG_NonEssential_genes.xlsx	275	1	True	False	matched
FGRAMPH1_01G00107	True	1	FG_NonEssential_genes.xlsx	97	1	True	False	matched
